SMILES,log2_K
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-11.8023
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-12.1722
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,-11.4804
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,-12.4132
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-6.7486
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,-7.9479
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-6.6559
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,-7.7382
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,-8.3889
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-11.3022
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-11.4478
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-10.9658
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-10.6836
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-10.3113
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-11.5393
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-11.1935
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-12.8126
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-11.6462
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-10.6908
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-10.4804
COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,-12.558
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-12.6789
CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,-12.6789
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-13.2877
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-12.1722
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-10.5873
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-9.6632
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.0147
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-10.2877
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-10.1178
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.3491
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.7852
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-10.6247
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-10.7434
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,-10.3181
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,-10.7768
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,-10.5151
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,-10.5471
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,-12.1946
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-6.5507
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-5.8093
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-3.4344
